word,x,y
研究,2.3329029083251953,-0.2553236484527588
変更,4.3438568115234375,9.369569778442383
ほか,2.3495116233825684,3.6679351329803467
[昭和],-5.775789737701416,6.318056106567383
うち,1.717943787574768,1.9812593460083008
[鉄道駅],2.2224931716918945,8.159871101379395
獲得,-3.83012056350708,3.3970940113067627
当初,-0.050022125244140625,4.369954586029053
とき,2.618274688720703,-5.726492404937744
最初,-1.4083305597305298,2.216663122177124
でも,6.079338073730469,-2.5878772735595703
8,1.6956528425216675,7.04511022567749
一方,2.7320070266723633,-3.0821452140808105
問題,6.199883937835693,-0.8531549572944641
10,2.4170355796813965,6.463651180267334
卒業,-11.594269752502441,2.0995001792907715
結果,2.7716445922851562,0.6702994108200073
ながら,4.476015090942383,-5.629514694213867
及び,-0.4139205813407898,5.227367401123047
同様,7.805187225341797,0.3420824408531189
ので,7.711515426635742,-5.466681957244873
一つ,4.413993835449219,-0.3368551731109619
生まれ,-10.551064491271973,-4.523440361022949
設立,-11.870745658874512,7.269480228424072
自身,-1.0281131267547607,-6.280144691467285
以外,6.6218390464782715,0.9327288269996643
それぞれ,4.618576526641846,2.673983573913574
曲,3.323275089263916,2.6921613216400146
代表,-5.434612274169922,1.691488265991211
担当,-5.222589015960693,3.6851437091827393
意味,8.677152633666992,-7.247281074523926
優勝,-5.004696846008301,4.807579040527344
二,0.7572394609451294,-1.8819053173065186
監督,-7.04611873626709,1.2075340747833252
系,3.6085195541381836,3.0660629272460938
旧,-2.985642910003662,5.811514377593994
現,-9.633736610412598,5.95188045501709
部分,11.723223686218262,0.033392444252967834
地,-0.03274792432785034,-2.1474225521087646
と共に,-5.029176235198975,-1.2586603164672852
かつて,-0.9679450392723083,-0.9068967700004578
建設,-2.9709057807922363,4.154629230499268
式,6.7738752365112305,5.77526330947876
一般,7.909276962280273,2.6657967567443848
||,-2.529540538787842,2.073089361190796
ものの,3.0414199829101562,-0.8150667548179626
計画,-0.3769552707672119,5.911342144012451
シリーズ,4.012857437133789,8.255464553833008
両,1.4869567155838013,6.667748928070068
得,-0.21333128213882446,-5.441049098968506
した,2.983854293823242,-0.4392321705818176
または,5.037378787994385,0.07339157164096832
車,7.333548545837402,6.358883380889893
号,-5.104887962341309,6.866427898406982
発生,4.453148365020752,1.1593003273010254
大会,-4.58740758895874,7.974267482757568
採用,5.141749382019043,6.696300506591797
次,2.665797710418701,2.530426025390625
ただし,6.449427604675293,1.6844282150268555
構成,8.339245796203613,4.0489630699157715
攻撃,5.033939361572266,-4.85439920425415
社,-2.121230125427246,9.15731143951416
最も,6.1543097496032715,-0.03132227063179016
国,0.6776773929595947,-1.1283645629882812
ほど,6.850075721740723,-4.136972904205322
就任,-13.468256950378418,3.3301961421966553
父,-11.040513038635254,-8.932058334350586
に対する,4.032553672790527,-4.823457717895508
力,6.8694376945495605,-6.231876850128174
終了,-1.1966348886489868,8.50779914855957
使わ,9.123053550720215,-1.0126607418060303
場所,4.356086254119873,0.41436007618904114
向け,1.633844017982483,4.322829723358154
通り,3.5966835021972656,1.516843557357788
にかけて,-7.8619890213012695,7.567549705505371
状態,9.40427017211914,-1.429051399230957
経,-9.242828369140625,1.7238810062408447
度,1.941646695137024,3.580641269683838
販売,4.55971097946167,9.983980178833008
4月,-8.545642852783203,7.566866874694824
与え,0.2960599660873413,-7.044476509094238
大きな,6.843029975891113,-3.9426021575927734
始め,-3.515038013458252,-3.0689492225646973
新,-1.3749326467514038,4.643804550170898
最後,-3.2414684295654297,-0.44017112255096436
高い,9.948758125305176,-1.5042705535888672
3月,-8.284804344177246,7.177797317504883
といった,7.698727607727051,-4.488654613494873
時間,9.839184761047363,2.017740249633789
全て,7.216764450073242,0.17699836194515228
日,-3.5200467109680176,2.3119759559631348
映画,-1.4708857536315918,1.179238200187683
とも,2.2416982650756836,-1.1253247261047363
自分,3.7095909118652344,-12.85653018951416
活躍,-7.85847806930542,-1.2897229194641113
種,12.140304565429688,2.4173543453216553
デビュー,-8.304686546325684,4.847560405731201
12月,-9.191203117370605,7.502017974853516
%,6.985662937164307,6.47041654586792
点,11.852226257324219,0.5186033248901367
に関する,3.8323473930358887,-0.822355329990387
地区,-2.4827194213867188,7.620643615722656
目的,5.377798080444336,0.6791974306106567
収録,2.388728618621826,4.93734073638916
初めて,-3.692354202270508,3.5393638610839844
例,7.705842018127441,2.860434055328369
話,2.112501621246338,-2.608520269393921
女性,-1.216575026512146,-4.20142126083374
アメリカ,-2.5272064208984375,2.662506580352783
